Валюта_1,Валюта_2,Пара,Тип
AED,USD,USD/AED,Exotic
USD,AFN,USD/AFN,Minor
USD,ARS,USD/ARS,Exotic
USD,AUD,USD/AUD,Major
USD,BMD,BMD/USD,Major
USD,BOB,USD/BOB,Exotic
USD,BRL,USD/BRL,Exotic
USD,BYN,BYN/USD,Minor
USD,CAD,USD/CAD,Major
USD,CHF,USD/CHF,Major
USD,CLP,USD/CLP,Exotic
USD,CNY,USD/CNY,Exotic
USD,COP,USD/COP,Exotic
USD,CZK,USD/CZK,Exotic
USD,DKK,USD/DKK,Exotic
USD,EGP,USD/EGP,Exotic
USD,EUR,USD/EUR,Major
USD,FJD,USD/FJD,Exotic
USD,FKP,FKP/USD,Major
USD,GBP,USD/GBP,Major
USD,GHS,USD/GHS,Exotic
USD,GIP,GIP/USD,Major
USD,HKD,USD/HKD,Exotic
USD,HUF,USD/HUF,Exotic
USD,IDR,USD/IDR,Exotic
USD,ILS,USD/ILS,Exotic
USD,INR,USD/INR,Exotic
USD,IQD,USD/IQD,Exotic
USD,IRR,USD/IRR,Exotic
USD,JOD,USD/JOD,Exotic
USD,JPY,USD/JPY,Major
USD,KRW,USD/KRW,Exotic
USD,KWD,USD/KWD,Exotic
USD,KYD,KYD/USD,Exotic
USD,MXN,USD/MXN,Exotic
USD,MYR,USD/MYR,Exotic
USD,NIO,USD/NIO,Exotic
USD,NOK,USD/NOK,Exotic
USD,NZD,USD/NZD,Major
USD,PEN,USD/PEN,Exotic
USD,PHP,USD/PHP,Exotic
USD,PLN,USD/PLN,Exotic
USD,PYG,USD/PYG,Exotic
USD,RUB,USD/RUB,Minor
USD,SAR,USD/SAR,Exotic
USD,SGD,USD/SGD,Exotic
USD,SHP,SHP/USD,Major
USD,SYP,USD/SYP,Exotic
USD,THB,USD/THB,Exotic
USD,TRY,USD/TRY,Exotic
USD,TWD,USD/TWD,Exotic
USD,UAH,USD/UAH,Exotic
USD,ALL,USD/ALL,Exotic
USD,AMD,USD/AMD,Exotic
USD,AOA,USD/AOA,Minor
USD,AWG,USD/AWG,Major
USD,AZN,USD/AZN,Exotic
USD,BAM,USD/BAM,Exotic
USD,BBD,USD/BBD,Exotic
USD,BDT,USD/BDT,Exotic
USD,BGN,USD/BGN,Exotic
USD,BHD,USD/BHD,Exotic
USD,BIF,USD/BIF,Exotic
USD,BND,USD/BND,Exotic
